N,expected_E,expected_M
1,-0.72,0.03
2,-0.9,0.0175
3,-1,0.0216667
4,-1.09,0.0175
5,-1.178,0.021
6,-1.24,0.0183333
7,-1.29143,0.02
8,-1.33125,0.0275
9,-1.36333,0.0311111
10,-1.391,0.0325
11,-1.41455,0.0295455
12,-1.43583,0.035
13,-1.45462,0.0423077
14,-1.47143,0.0492857
15,-1.48533,0.053
16,-1.4975,0.0590625
17,-1.50941,0.0644118
18,-1.52,0.0694444
19,-1.52895,0.0736842
20,-1.5365,0.07825
21,-1.54429,0.082381
22,-1.55136,0.0875
23,-1.55826,0.0928261
24,-1.56417,0.0989583
25,-1.57,0.103
26,-1.57538,0.107308
27,-1.57963,0.111296
28,-1.58393,0.115357
29,-1.58862,0.118276
30,-1.592,0.121667
31,-1.59484,0.123548
32,-1.5975,0.12625
33,-1.6003,0.12803
34,-1.60265,0.130147
35,-1.60457,0.132714
36,-1.60667,0.134861
37,-1.60946,0.136081
38,-1.61237,0.137763
39,-1.61487,0.139744
40,-1.61725,0.14225
41,-1.61951,0.145122
42,-1.62167,0.148214
43,-1.62395,0.151279
44,-1.62636,0.153636
45,-1.62889,0.156111
46,-1.63109,0.158696
47,-1.63319,0.161702
48,-1.63521,0.163854
49,-1.63755,0.166224
50,-1.6394,0.1688
51,-1.64118,0.171765
52,-1.64269,0.174231
53,-1.64415,0.176604
54,-1.64574,0.178148
55,-1.64745,0.180636
56,-1.64929,0.183929
57,-1.65018,0.187544
58,-1.65121,0.191034
59,-1.65203,0.194407
60,-1.65333,0.197333
61,-1.65443,0.199918
62,-1.65565,0.202258
63,-1.65667,0.205
64,-1.65781,0.207188
65,-1.65877,0.209154
66,-1.66,0.210758
67,-1.66119,0.21291
68,-1.66235,0.214559
69,-1.66333,0.215797
70,-1.66443,0.217071
71,-1.66535,0.218732
72,-1.66653,0.22
73,-1.66753,0.221096
74,-1.66811,0.22223
75,-1.66907,0.223467
76,-1.67013,0.224934
77,-1.6713,0.226364
78,-1.67231,0.227885
79,-1.67342,0.229304
80,-1.67412,0.230438
81,-1.67506,0.23179
82,-1.6761,0.233537
83,-1.67699,0.235241
84,-1.67738,0.237024
85,-1.67776,0.238882
86,-1.67814,0.241279
87,-1.67862,0.243908
88,-1.67886,0.246591
89,-1.6791,0.248876
90,-1.67944,0.250389
91,-1.67967,0.251813
92,-1.67978,0.253478
93,-1.68011,0.255054
94,-1.68053,0.256596
95,-1.68116,0.258053
96,-1.68198,0.259844
97,-1.68278,0.261546
98,-1.68357,0.263571
99,-1.68434,0.265707
100,-1.685,0.2676
101,-1.68554,0.269455
102,-1.68608,0.271569
103,-1.6867,0.273738
104,-1.68721,0.275577
105,-1.6879,0.277429
106,-1.68877,0.279292
107,-1.68935,0.280981
108,-1.68981,0.282824
109,-1.69028,0.284771
110,-1.69082,0.286545
111,-1.69135,0.288243
112,-1.69196,0.289821
113,-1.69257,0.291106
114,-1.69298,0.292105
115,-1.6933,0.293435
116,-1.69345,0.294655
117,-1.69376,0.295812
118,-1.69381,0.297119
119,-1.69412,0.298193
120,-1.69475,0.299417
121,-1.69537,0.300331
122,-1.69574,0.301148
123,-1.6961,0.302154
124,-1.69645,0.303145
125,-1.69696,0.30436
126,-1.69746,0.305635
127,-1.69795,0.30689
128,-1.69844,0.308203
129,-1.69899,0.309767
130,-1.69962,0.311346
131,-1.70015,0.312786
132,-1.70068,0.314091
133,-1.7012,0.315376
134,-1.70172,0.316679
135,-1.70222,0.317815
136,-1.70265,0.318676
137,-1.70314,0.319672
138,-1.7037,0.32058
139,-1.7041,0.321439
140,-1.70443,0.322393
141,-1.70475,0.323333
142,-1.70507,0.324437
143,-1.70538,0.325455
144,-1.70576,0.326493
145,-1.706,0.327345
146,-1.70623,0.32839
147,-1.70646,0.32932
148,-1.70676,0.330405
149,-1.70685,0.331309
150,-1.70693,0.332233
151,-1.70715,0.333179
152,-1.70737,0.334046
153,-1.70725,0.334804
154,-1.7074,0.335519
155,-1.70748,0.336032
156,-1.70763,0.336699
157,-1.7079,0.337357
158,-1.70816,0.338165
159,-1.7083,0.338836
160,-1.7085,0.339594
161,-1.70876,0.340404
162,-1.70901,0.341173
163,-1.70926,0.342147
164,-1.70957,0.343293
165,-1.70982,0.344394
166,-1.70994,0.345633
167,-1.71,0.346886
168,-1.71018,0.348274
169,-1.71041,0.349763
170,-1.71065,0.351059
171,-1.71088,0.352456
172,-1.71093,0.353895
173,-1.71104,0.355318
174,-1.71115,0.356753
175,-1.71126,0.358286
176,-1.71142,0.359545
177,-1.71169,0.360989
178,-1.71191,0.362472
179,-1.71201,0.363827
180,-1.71222,0.365306
181,-1.71249,0.366768
182,-1.71269,0.367995
183,-1.71284,0.369235
184,-1.71304,0.370408
185,-1.71335,0.371622
186,-1.71366,0.372796
187,-1.71385,0.374037
188,-1.7141,0.375213
189,-1.71423,0.376323
190,-1.71432,0.377289
191,-1.71466,0.378246
192,-1.71495,0.378958
193,-1.71513,0.379689
194,-1.71505,0.380464
195,-1.71518,0.381462
196,-1.71551,0.382577
197,-1.71574,0.383807
198,-1.71601,0.384924
199,-1.71633,0.38603
200,-1.7166,0.38715
201,-1.71692,0.388308
202,-1.71718,0.389455
203,-1.71744,0.390616
204,-1.71755,0.391765
205,-1.71771,0.392829
206,-1.71772,0.393786
207,-1.71773,0.39471
208,-1.71784,0.395529
209,-1.71789,0.396268
210,-1.718,0.397
211,-1.71806,0.397749
212,-1.71811,0.398396
213,-1.71822,0.398967
214,-1.71836,0.399486
215,-1.71856,0.400093
216,-1.71875,0.40081
217,-1.71894,0.401498
218,-1.71917,0.402294
219,-1.71941,0.403151
220,-1.71959,0.403955
221,-1.71973,0.404706
222,-1.71986,0.40545
223,-1.72009,0.406278
