N,expected_E,expected_M
1,-1.7816,0.936
2,-1.7328,0.9169
3,-1.6968,0.901133
4,-1.6663,0.88805
5,-1.64024,0.87556
6,-1.62127,0.866033
7,-1.6024,0.8574
8,-1.58295,0.84805
9,-1.56702,0.839911
10,-1.5546,0.83278
11,-1.54491,0.826127
12,-1.5366,0.820617
13,-1.52831,0.815585
14,-1.5194,0.8101
15,-1.5128,0.805387
16,-1.50695,0.801037
17,-1.49979,0.796141
18,-1.49311,0.791
19,-1.48663,0.785579
20,-1.47882,0.7799
21,-1.47112,0.774638
22,-1.46518,0.770073
23,-1.45864,0.765096
24,-1.45288,0.760942
25,-1.44752,0.75656
26,-1.44405,0.752769
27,-1.44022,0.748881
28,-1.43634,0.744857
29,-1.43281,0.741172
30,-1.42956,0.73804
31,-1.42586,0.734426
32,-1.42129,0.730725
33,-1.41747,0.727388
34,-1.41349,0.724324
35,-1.41045,0.721771
36,-1.408,0.719111
37,-1.40531,0.716103
38,-1.40291,0.713274
39,-1.40036,0.710821
40,-1.3979,0.708405
41,-1.39521,0.705966
42,-1.39337,0.70361
43,-1.39132,0.700977
44,-1.38942,0.698395
45,-1.38765,0.695884
46,-1.38566,0.6936
47,-1.38351,0.691706
48,-1.38146,0.689825
49,-1.37993,0.688069
50,-1.37852,0.686448
51,-1.37722,0.684969
52,-1.37536,0.683308
53,-1.37375,0.681777
54,-1.37237,0.680452
55,-1.37175,0.679531
56,-1.37112,0.678789
57,-1.37079,0.678102
58,-1.36985,0.6771
59,-1.3686,0.675715
60,-1.36728,0.674327
61,-1.36616,0.67317
62,-1.36531,0.672132
63,-1.36419,0.671022
64,-1.36335,0.670025
65,-1.36256,0.668938
66,-1.36207,0.667912
67,-1.36138,0.666878
68,-1.36086,0.665935
69,-1.36067,0.66507
70,-1.35999,0.66402
71,-1.35922,0.662913
72,-1.35831,0.661806
73,-1.35767,0.660825
74,-1.35682,0.659816
75,-1.35615,0.658861
76,-1.35565,0.657976
77,-1.35523,0.65721
78,-1.35446,0.656279
