2.1,-1.69354,0.891728,0.749488,0.330904
2.10625,-1.68774,0.888664,0.756677,0.34613
2.1125,-1.68314,0.886752,0.763558,0.350711
2.11875,-1.67832,0.884832,0.768808,0.355059
2.125,-1.67477,0.883576,0.768522,0.355569
2.13125,-1.66926,0.881536,0.771484,0.358808
2.1375,-1.66469,0.879712,0.776188,0.36301
2.14375,-1.65941,0.877432,0.782586,0.369593
2.15,-1.65646,0.876008,0.783072,0.374691
2.15625,-1.65299,0.875072,0.783556,0.37287
2.1625,-1.64666,0.872088,0.797627,0.384416
2.16875,-1.64067,0.868928,0.805665,0.397844
2.175,-1.63629,0.867112,0.808264,0.401114
2.18125,-1.62691,0.862712,0.825557,0.41684
2.1875,-1.62379,0.862136,0.824481,0.411409
2.19375,-1.61923,0.860208,0.823549,0.415886
2.2,-1.61546,0.858728,0.819659,0.416443
2.20625,-1.61018,0.85684,0.816716,0.416793
2.2125,-1.60173,0.853048,0.831945,0.429986
2.21875,-1.59461,0.850152,0.838495,0.434796
2.225,-1.58946,0.848552,0.835987,0.431423
2.23125,-1.5841,0.846776,0.838826,0.430275
2.2375,-1.57782,0.84392,0.845201,0.438289
2.24375,-1.56819,0.838608,0.864562,0.462718
2.25,-1.56314,0.83696,0.868291,0.462788
2.25625,-1.55898,0.835024,0.871023,0.467887
2.2625,-1.55922,0.835344,0.864163,0.464096
2.26875,-1.55358,0.832616,0.868959,0.472111
2.275,-1.54349,0.826776,0.880169,0.496568
2.28125,-1.53829,0.824776,0.884156,0.499367
2.2875,-1.53269,0.822072,0.886373,0.506997
