N,expected_E,expected_M
1,-1.87,0.955
2,-1.795,0.935
3,-1.74,0.908333
4,-1.69,0.88875
5,-1.648,0.877
6,-1.62333,0.864167
7,-1.6,0.857143
8,-1.5875,0.8475
9,-1.56889,0.839444
10,-1.546,0.833
11,-1.52273,0.823636
12,-1.52167,0.8225
13,-1.51154,0.813462
14,-1.50714,0.808214
15,-1.506,0.807
16,-1.50062,0.803125
17,-1.49412,0.796176
18,-1.48111,0.7875
19,-1.46842,0.778684
20,-1.4575,0.7715
21,-1.44238,0.763333
22,-1.42818,0.752727
23,-1.41261,0.742391
24,-1.405,0.735417
25,-1.3996,0.727
26,-1.39269,0.718654
27,-1.38444,0.707778
28,-1.37786,0.696607
29,-1.37138,0.688793
30,-1.368,0.682167
31,-1.36226,0.677258
32,-1.36156,0.675469
33,-1.3603,0.673636
34,-1.35912,0.672059
35,-1.35657,0.669286
36,-1.35417,0.668194
37,-1.35486,0.668243
38,-1.35526,0.668553
39,-1.3541,0.668077
40,-1.3545,0.667
41,-1.35171,0.664878
42,-1.35143,0.66369
43,-1.3514,0.66186
44,-1.35,0.659773
45,-1.34667,0.657444
46,-1.34674,0.65587
47,-1.34404,0.65383
48,-1.34208,0.652083
49,-1.34061,0.650102
50,-1.3404,0.6478
51,-1.34196,0.646176
52,-1.34077,0.644423
53,-1.33962,0.641604
54,-1.33815,0.638981
55,-1.33764,0.636273
56,-1.33929,0.634375
57,-1.34018,0.63193
58,-1.3369,0.628621
59,-1.3339,0.624746
60,-1.334,0.620583
61,-1.3341,0.616066
62,-1.33371,0.610806
63,-1.33143,0.60627
64,-1.32984,0.600625
65,-1.32862,0.595077
66,-1.32652,0.59053
67,-1.32313,0.586269
68,-1.31824,0.582206
69,-1.31493,0.577246
70,-1.31186,0.572714
71,-1.30958,0.568451
72,-1.30708,0.565764
73,-1.30438,0.563904
74,-1.30068,0.560676
75,-1.29827,0.556533
76,-1.295,0.552697
77,-1.29039,0.548117
78,-1.28628,0.542756
79,-1.28253,0.537089
80,-1.27925,0.5315
81,-1.27716,0.52679
82,-1.27537,0.522805
83,-1.27241,0.519157
84,-1.27119,0.516845
85,-1.27047,0.514471
86,-1.27081,0.511047
87,-1.2692,0.506667
88,-1.26602,0.50233
89,-1.26348,0.499101
90,-1.26189,0.496556
91,-1.26088,0.492418
92,-1.26033,0.488261
93,-1.26075,0.484677
94,-1.26096,0.480904
95,-1.25979,0.476368
96,-1.25771,0.471823
97,-1.2566,0.467732
98,-1.25673,0.464286
99,-1.25768,0.461515
100,-1.2581,0.4592
101,-1.25713,0.45703
