T,<epsilon>,<|m|>,C_v,chi
2.25417,-1.45046,0.625683,2.47021,129.67
2.25,-1.46198,0.664122,2.05171,49.6472
2.26042,-1.44084,0.619959,2.28132,93.9191
2.25833,-1.44207,0.598803,2.50346,140.337
2.25625,-1.44938,0.63782,2.17938,69.8799
2.2625,-1.43266,0.58526,2.20477,111.397
2.26667,-1.4205,0.541571,2.62067,148.351
2.27083,-1.41037,0.476444,2.69367,376.334
2.26875,-1.41297,0.486573,2.94518,295.968
2.26458,-1.42908,0.580581,2.40833,112.524
2.28333,-1.37464,0.297758,2.13928,300.03
2.25208,-1.44941,0.561711,3.26888,369.913
2.29167,-1.36179,0.273471,2.36527,346.841
2.27292,-1.40571,0.47781,2.50302,233.818
2.27708,-1.39883,0.48163,2.6724,250.678
2.275,-1.39484,0.357613,2.85338,452.447
2.27917,-1.3847,0.324206,2.20089,342.286
2.28125,-1.37993,0.287844,2.3607,403.774
2.29375,-1.35631,0.242854,2.05881,280.433
2.29792,-1.34816,0.250068,1.99615,264.434
2.28542,-1.37553,0.355119,2.3799,325.197
2.28958,-1.366,0.303903,2.40684,356.799
2.29583,-1.35204,0.224318,1.97035,274.441
2.2875,-1.36374,0.240675,1.92669,227.706
