N,expected_E,expected_M
248,-1.99677,0.999173
249,-1.99679,0.999177
250,-1.9968,0.99918
251,-1.99681,0.999183
252,-1.99683,0.999187
253,-1.99684,0.99919
254,-1.99685,0.999193
255,-1.99678,0.999176
256,-1.9968,0.99918
257,-1.99681,0.999183
258,-1.99682,0.999186
259,-1.99683,0.999189
260,-1.99685,0.999192
261,-1.99686,0.999195
262,-1.99687,0.999198
263,-1.99688,0.999202
264,-1.99689,0.999205
265,-1.99691,0.999208
266,-1.99692,0.999211
267,-1.99693,0.999213
268,-1.99694,0.999216
269,-1.99695,0.999219
270,-1.99696,0.999222
271,-1.9969,0.999207
272,-1.99684,0.999191
273,-1.99678,0.999176
274,-1.99672,0.999161
275,-1.99673,0.999164
276,-1.99674,0.999167
277,-1.99675,0.99917
278,-1.99676,0.999173
279,-1.99677,0.999176
280,-1.99671,0.999161
281,-1.99665,0.999146
282,-1.99667,0.999149
283,-1.99668,0.999152
284,-1.99669,0.999155
285,-1.9967,0.999158
286,-1.99671,0.999161
287,-1.99672,0.999164
288,-1.99674,0.999167
289,-1.99675,0.99917
290,-1.99676,0.999172
291,-1.99677,0.999175
292,-1.99678,0.999178
293,-1.99679,0.999181
294,-1.99673,0.999167
295,-1.99675,0.999169
296,-1.99669,0.999155
297,-1.9967,0.999158
298,-1.99664,0.999144
299,-1.99666,0.999147
300,-1.99667,0.99915
301,-1.99668,0.999153
302,-1.99669,0.999156
303,-1.9967,0.999158
304,-1.99671,0.999161
305,-1.99672,0.999164
306,-1.99673,0.999167
307,-1.99674,0.999169
308,-1.99675,0.999172
309,-1.99676,0.999175
310,-1.99677,0.999177
311,-1.99678,0.99918
312,-1.99679,0.999183
313,-1.99681,0.999185
314,-1.99682,0.999188
315,-1.99683,0.99919
316,-1.99684,0.999193
317,-1.99685,0.999196
318,-1.99686,0.999198
319,-1.99687,0.999201
320,-1.99688,0.999203
321,-1.99688,0.999206
322,-1.99683,0.999193
323,-1.99678,0.99918
324,-1.99673,0.999167
325,-1.99668,0.999154
326,-1.99663,0.999141
327,-1.99664,0.999144
328,-1.99665,0.999146
329,-1.99666,0.999149
330,-1.99667,0.999152
331,-1.99668,0.999154
332,-1.99669,0.999157
333,-1.9967,0.999159
334,-1.99671,0.999162
335,-1.99672,0.999164
336,-1.99673,0.999167
337,-1.99674,0.999169
338,-1.99675,0.999172
339,-1.99676,0.999174
340,-1.99676,0.999176
341,-1.99677,0.999179
342,-1.99678,0.999181
343,-1.99679,0.999184
344,-1.99674,0.999172
345,-1.9967,0.999159
346,-1.99671,0.999162
347,-1.99666,0.99915
348,-1.99667,0.999152
349,-1.99668,0.999155
350,-1.99669,0.999157
351,-1.9967,0.99916
