N,expected_E,expected_M
246,-1.9968,0.999176
247,-1.9968,0.999178
248,-1.99681,0.999181
249,-1.99682,0.999183
250,-1.99682,0.999184
251,-1.99683,0.999185
252,-1.99683,0.999187
253,-1.99684,0.999189
254,-1.99684,0.999188
255,-1.99684,0.999188
256,-1.99684,0.999187
257,-1.99684,0.999188
258,-1.99684,0.999188
259,-1.99684,0.999189
260,-1.99685,0.999192
261,-1.99685,0.999191
262,-1.99684,0.999188
263,-1.99683,0.999185
264,-1.99682,0.999183
265,-1.99682,0.999183
266,-1.99683,0.999183
267,-1.99683,0.999184
268,-1.99683,0.999185
269,-1.99683,0.999186
270,-1.99684,0.999188
271,-1.99685,0.999191
272,-1.99686,0.999193
273,-1.99685,0.999189
274,-1.99685,0.999189
275,-1.99685,0.999189
276,-1.99685,0.99919
277,-1.99685,0.999191
278,-1.99686,0.999191
279,-1.99686,0.999193
280,-1.99686,0.999193
281,-1.99687,0.999194
282,-1.99687,0.999195
283,-1.99686,0.999193
284,-1.99686,0.999192
285,-1.99687,0.999194
286,-1.99688,0.999197
287,-1.99688,0.999197
288,-1.99688,0.999197
289,-1.99687,0.999197
290,-1.99687,0.999197
291,-1.99687,0.999196
292,-1.99688,0.999197
293,-1.99688,0.999198
294,-1.99688,0.999198
295,-1.99688,0.999199
296,-1.99689,0.999201
297,-1.99689,0.999201
298,-1.99689,0.999201
299,-1.9969,0.999204
300,-1.99691,0.999206
301,-1.99691,0.999207
302,-1.99692,0.999208
303,-1.99692,0.999209
304,-1.99692,0.999209
305,-1.99691,0.999206
306,-1.99691,0.999205
307,-1.9969,0.999203
308,-1.99689,0.999201
309,-1.99689,0.999202
310,-1.9969,0.999203
311,-1.99691,0.999205
312,-1.99691,0.999207
313,-1.99692,0.999208
314,-1.99692,0.999208
315,-1.99692,0.99921
316,-1.99693,0.999211
317,-1.99693,0.999211
318,-1.99693,0.999211
319,-1.99693,0.999212
320,-1.99693,0.999211
321,-1.99692,0.99921
322,-1.99692,0.999209
323,-1.99692,0.999209
324,-1.99692,0.99921
325,-1.99693,0.999212
326,-1.99693,0.999211
327,-1.99693,0.999212
328,-1.99693,0.999212
329,-1.99693,0.999212
330,-1.99693,0.999211
331,-1.99692,0.99921
332,-1.99692,0.99921
333,-1.99693,0.999211
334,-1.99693,0.999212
335,-1.99693,0.999213
336,-1.99693,0.999212
337,-1.99692,0.99921
338,-1.99692,0.99921
