N,expected_E,expected_M
5693,-1.23661,0.45306
5694,-1.23659,0.453021
5695,-1.23654,0.452982
5696,-1.23648,0.452935
5697,-1.23644,0.452887
5698,-1.23641,0.452837
5699,-1.23639,0.452785
5700,-1.23636,0.452725
5701,-1.23633,0.45267
5702,-1.2363,0.452602
5703,-1.23628,0.452534
5704,-1.23624,0.452469
5705,-1.23622,0.452394
5706,-1.23621,0.45233
5707,-1.23621,0.452259
5708,-1.23618,0.452181
5709,-1.23616,0.452106
5710,-1.23613,0.452034
5711,-1.23613,0.45196
5712,-1.23612,0.451907
5713,-1.23612,0.451837
5714,-1.2361,0.451769
5715,-1.23608,0.451703
5716,-1.23607,0.451631
5717,-1.23608,0.45156
5718,-1.23612,0.451496
5719,-1.23613,0.45142
5720,-1.23616,0.451345
5721,-1.23618,0.451273
5722,-1.2362,0.451218
5723,-1.23622,0.451163
5724,-1.23621,0.45111
5725,-1.2362,0.451053
5726,-1.23619,0.450989
5727,-1.23618,0.450918
5728,-1.23617,0.450845
5729,-1.23616,0.45077
5730,-1.23616,0.450694
5731,-1.23615,0.450622
5732,-1.23614,0.450549
5733,-1.23612,0.450492
5734,-1.2361,0.450431
5735,-1.23609,0.450363
5736,-1.23606,0.450284
5737,-1.23602,0.450218
5738,-1.23599,0.450147
5739,-1.23597,0.450085
5740,-1.23593,0.450025
5741,-1.23589,0.449963
5742,-1.23583,0.449908
5743,-1.23581,0.449836
5744,-1.23579,0.449761
5745,-1.23576,0.449686
5746,-1.23574,0.449615
5747,-1.2357,0.449555
5748,-1.23566,0.449483
5749,-1.23563,0.449421
5750,-1.2356,0.449363
5751,-1.23555,0.449298
5752,-1.23553,0.449238
5753,-1.23551,0.449197
5754,-1.23549,0.449147
5755,-1.23548,0.449096
5756,-1.23547,0.449039
5757,-1.23544,0.448978
5758,-1.23544,0.448915
5759,-1.23541,0.448864
5760,-1.23539,0.448806
5761,-1.23538,0.44876
5762,-1.23538,0.448721
5763,-1.23536,0.44868
5764,-1.23537,0.448642
5765,-1.23536,0.448616
5766,-1.23535,0.448587
5767,-1.23534,0.448556
5768,-1.23532,0.448539
5769,-1.2353,0.448529
5770,-1.23528,0.448517
5771,-1.23528,0.44851
5772,-1.23527,0.448495
5773,-1.23527,0.448499
5774,-1.23527,0.448506
5775,-1.23527,0.448503
5776,-1.23528,0.448507
5777,-1.23528,0.448521
5778,-1.23529,0.448531
5779,-1.23529,0.448541
5780,-1.2353,0.448546
5781,-1.23529,0.448554
5782,-1.23528,0.44856
5783,-1.23527,0.448564
5784,-1.23523,0.448555
5785,-1.23519,0.448531
5786,-1.23514,0.448506
5787,-1.2351,0.448463
5788,-1.23504,0.448397
5789,-1.23499,0.448331
5790,-1.23493,0.448255
5791,-1.23488,0.448178
5792,-1.23484,0.448104
5793,-1.2348,0.448036
5794,-1.23475,0.447959
5795,-1.2347,0.447892
5796,-1.23466,0.44783
5797,-1.23463,0.447772
5798,-1.23462,0.447708
5799,-1.23459,0.447641
5800,-1.23457,0.447571
5801,-1.23455,0.447494
5802,-1.23454,0.447419
5803,-1.23451,0.447346
5804,-1.23448,0.447291
5805,-1.23445,0.44723
5806,-1.23445,0.44717
