T,<epsilon>,<|m|>,C_v,chi
1.0,-1.9989938933693154,0.9996646498695335,0.008046603700387678,0.0010056567918441672
1.1,-1.9979185558086794,0.9993062655086495,0.013753658548342398,0.0018904719283115282
1.2000000000000002,-1.996186142955933,0.9987289837369187,0.021165651725458316,0.0031728292622527445
1.3000000000000003,-1.9936353951147494,0.997879215455167,0.030075056996851233,0.004882010751468161
1.4000000000000004,-1.9901316025850257,0.9967123386140662,0.04016880738732393,0.007017973246728241
1.5000000000000004,-1.9855741707163783,0.9951952471128406,0.051086433766881094,0.009555657788263614
1.6000000000000005,-1.9798989748984246,0.9933071490757149,0.06246527753559421,0.012451155054748192
1.7000000000000006,-1.9730769445919496,0.9910390914094754,0.07397079168914945,0.015648155221752703
1.8000000000000007,-1.9651102925214536,0.9883926835546953,0.0853138128521148,0.019083771276833736
1.9000000000000008,-1.9560275377222576,0.9853784068208052,0.09625796015289104,0.022693314910185
2.000000000000001,-1.9458781503871894,0.9820137900379083,0.10662028243239642,0.026413917308804703
2.100000000000001,-1.9347273596473058,0.978321636739306,0.11626772579743914,0.030187064103830624
2.200000000000001,-1.9226514411930111,0.974328413650173,0.12511133564009932,0.033960198829146415
2.300000000000001,-1.9097336406902716,0.9700628555303257,0.1330995162208438,0.037687577753798086
2.4000000000000012,-1.896060781140343,0.9655548043337888,0.1402112023544065,0.04133055535071759
