N,expected_E,expected_M
1,-0.766,0.0332
2,-0.919,0.0289
3,-1.03147,0.0331333
4,-1.1167,0.0398
5,-1.18304,0.04632
6,-1.2352,0.0498333
7,-1.27743,0.0514
8,-1.3135,0.053075
9,-1.34493,0.0550889
10,-1.37228,0.05806
11,-1.39684,0.0607455
12,-1.4191,0.0640333
13,-1.4392,0.0665846
14,-1.45734,0.0693429
15,-1.47373,0.0722933
16,-1.48925,0.075425
17,-1.50355,0.0787176
18,-1.51671,0.0815667
19,-1.52874,0.0842632
20,-1.53982,0.08683
21,-1.55008,0.0893429
22,-1.55964,0.0916545
23,-1.56852,0.0938174
24,-1.57675,0.095975
25,-1.58432,0.098096
26,-1.59175,0.100208
27,-1.59887,0.102311
28,-1.60564,0.104343
29,-1.6121,0.1064
30,-1.61819,0.10852
31,-1.6239,0.110806
32,-1.62929,0.113175
33,-1.63442,0.115479
34,-1.63938,0.117935
35,-1.64399,0.120394
36,-1.64843,0.12275
37,-1.65279,0.125146
38,-1.65694,0.127574
39,-1.66095,0.129954
40,-1.66489,0.132305
41,-1.66878,0.134659
42,-1.67245,0.137014
43,-1.67599,0.139335
44,-1.67938,0.14175
45,-1.68252,0.144049
46,-1.68559,0.146439
47,-1.68856,0.1488
48,-1.69149,0.151046
49,-1.69424,0.153114
50,-1.69692,0.155176
51,-1.69953,0.157329
52,-1.70209,0.159527
53,-1.70455,0.161566
54,-1.70687,0.163585
55,-1.70911,0.165545
56,-1.7114,0.167561
57,-1.71363,0.16953
58,-1.71577,0.1716
59,-1.71792,0.173685
60,-1.72005,0.175723
61,-1.7221,0.177761
62,-1.7241,0.179758
63,-1.7261,0.181781
64,-1.72801,0.183703
65,-1.72989,0.185692
66,-1.7317,0.187645
67,-1.73351,0.189663
68,-1.73522,0.191709
69,-1.73693,0.193745
70,-1.73859,0.195843
71,-1.74024,0.197901
72,-1.74188,0.199892
73,-1.74349,0.201852
74,-1.74504,0.203803
75,-1.74653,0.205773
76,-1.74799,0.207668
77,-1.74945,0.209561
78,-1.75088,0.211492
79,-1.75231,0.213415
80,-1.75371,0.215387
81,-1.75509,0.21736
82,-1.75647,0.219337
83,-1.75782,0.221284
84,-1.75919,0.223164
85,-1.76053,0.225002
86,-1.76183,0.226877
87,-1.76312,0.228807
88,-1.76436,0.230693
89,-1.76558,0.232616
90,-1.76676,0.234507
91,-1.76795,0.236387
92,-1.7691,0.23835
93,-1.77027,0.240378
94,-1.77144,0.242398
95,-1.77258,0.244398
96,-1.77373,0.246321
97,-1.77488,0.248225
98,-1.776,0.250151
99,-1.77712,0.252085
100,-1.77823,0.254024
101,-1.77933,0.255923
102,-1.7804,0.257824
103,-1.78148,0.259715
104,-1.78255,0.261648
105,-1.78358,0.263577
106,-1.78456,0.265508
107,-1.78556,0.267434
108,-1.78654,0.269383
109,-1.78747,0.271251
110,-1.78841,0.273087
111,-1.78938,0.274888
112,-1.79034,0.276693
113,-1.79128,0.278492
114,-1.7922,0.280307
115,-1.79312,0.282092
116,-1.79404,0.283857
117,-1.79493,0.285644
118,-1.79581,0.287378
119,-1.79667,0.289062
120,-1.79753,0.290725
121,-1.79836,0.292374
122,-1.79917,0.294005
123,-1.79999,0.295597
124,-1.80077,0.297187
125,-1.80154,0.298738
126,-1.80233,0.300256
127,-1.80311,0.301748
128,-1.80388,0.303206
129,-1.80463,0.304651
130,-1.80538,0.306082
131,-1.80613,0.307533
132,-1.80685,0.308959
133,-1.80757,0.310411
134,-1.8083,0.311903
135,-1.80904,0.313396
136,-1.80977,0.314884
137,-1.81048,0.316378
138,-1.8112,0.317857
139,-1.81191,0.319353
140,-1.81259,0.320831
141,-1.81327,0.322288
142,-1.81394,0.323742
143,-1.81462,0.325176
144,-1.81528,0.326585
145,-1.81594,0.328007
146,-1.81661,0.329421
147,-1.81726,0.330812
148,-1.8179,0.332205
149,-1.81854,0.333626
150,-1.81918,0.335047
151,-1.81983,0.336472
152,-1.82048,0.337904
153,-1.8211,0.339331
154,-1.8217,0.340729
155,-1.82229,0.342154
156,-1.82289,0.343565
157,-1.82347,0.344957
158,-1.82405,0.346356
159,-1.82463,0.347708
160,-1.82521,0.349055
161,-1.8258,0.350395
162,-1.82636,0.351714
163,-1.82689,0.353044
164,-1.82742,0.354359
165,-1.82796,0.355701
166,-1.82851,0.357029
167,-1.82906,0.358366
168,-1.8296,0.359679
169,-1.83015,0.360987
170,-1.83067,0.362281
171,-1.8312,0.36356
172,-1.83173,0.364813
173,-1.83225,0.366062
174,-1.83277,0.367322
175,-1.83328,0.368568
176,-1.83379,0.369807
177,-1.83429,0.371041
178,-1.83478,0.372264
179,-1.83526,0.373479
180,-1.83576,0.374696
181,-1.83626,0.375929
182,-1.83676,0.37717
183,-1.83722,0.378403
184,-1.83771,0.379643
185,-1.83819,0.380853
186,-1.83864,0.382051
187,-1.8391,0.383256
188,-1.83957,0.384461
189,-1.84003,0.385647
190,-1.84047,0.386823
191,-1.84091,0.387999
192,-1.84135,0.389195
193,-1.84178,0.390371
194,-1.84222,0.391545
195,-1.84265,0.392738
196,-1.84309,0.393944
197,-1.84352,0.395153
198,-1.84393,0.396347
199,-1.84436,0.397539
200,-1.84478,0.398735
201,-1.8452,0.399937
202,-1.84562,0.401132
203,-1.84603,0.402314
204,-1.84643,0.403501
205,-1.84683,0.404674
206,-1.84724,0.405831
207,-1.84765,0.406992
208,-1.84806,0.408149
209,-1.84845,0.409306
210,-1.84883,0.410458
211,-1.84921,0.411592
212,-1.84962,0.412726
213,-1.85001,0.413857
214,-1.8504,0.41498
215,-1.85077,0.416109
216,-1.85117,0.417251
217,-1.85155,0.418401
218,-1.85193,0.419558
219,-1.85231,0.420702
220,-1.8527,0.421831
221,-1.85308,0.422966
222,-1.85347,0.424103
223,-1.85385,0.425224
224,-1.85423,0.426329
225,-1.8546,0.42742
226,-1.85497,0.42851
227,-1.85534,0.429604
228,-1.85571,0.43069
229,-1.85608,0.431781
230,-1.85643,0.432862
231,-1.8568,0.433944
232,-1.85717,0.43503
233,-1.85752,0.436104
234,-1.85787,0.437169
235,-1.85822,0.438224
236,-1.85859,0.439275
237,-1.85894,0.440327
238,-1.85929,0.441369
239,-1.85964,0.442421
240,-1.85999,0.443463
241,-1.86033,0.444505
242,-1.86067,0.445547
243,-1.86101,0.446604
244,-1.86135,0.447657
245,-1.86169,0.448696
246,-1.86203,0.449714
247,-1.86236,0.450721
248,-1.8627,0.451738
249,-1.86303,0.452742
250,-1.86335,0.453739
251,-1.86367,0.45474
252,-1.864,0.455737
253,-1.86432,0.456739
254,-1.86464,0.45774
255,-1.86495,0.458729
256,-1.86528,0.459706
257,-1.86559,0.46067
258,-1.8659,0.461635
259,-1.8662,0.462585
260,-1.8665,0.463533
261,-1.8668,0.464486
262,-1.86711,0.465441
263,-1.8674,0.466389
264,-1.86768,0.467328
265,-1.86798,0.468264
266,-1.86827,0.469214
267,-1.86855,0.470167
268,-1.86883,0.471112
269,-1.86911,0.472053
270,-1.8694,0.472981
271,-1.8697,0.473905
272,-1.87,0.474835
273,-1.87028,0.47577
274,-1.87057,0.476701
275,-1.87084,0.47763
276,-1.8711,0.478546
277,-1.87137,0.479478
278,-1.87164,0.480406
279,-1.87192,0.481327
280,-1.87218,0.482251
281,-1.87245,0.483186
282,-1.87271,0.484111
283,-1.87297,0.485043
284,-1.87323,0.485971
285,-1.87349,0.4869
286,-1.87377,0.487831
287,-1.87403,0.488769
288,-1.87429,0.489708
289,-1.87454,0.490643
290,-1.8748,0.491584
291,-1.87506,0.492528
292,-1.87531,0.493467
293,-1.87558,0.494401
294,-1.87584,0.495337
295,-1.87609,0.496271
296,-1.87633,0.4972
297,-1.87658,0.498138
298,-1.87683,0.499066
299,-1.87708,0.499999
300,-1.87733,0.50093
301,-1.87758,0.50186
302,-1.87782,0.502771
303,-1.87807,0.503675
304,-1.87831,0.504573
305,-1.87856,0.50545
306,-1.87881,0.506323
307,-1.87904,0.507193
308,-1.87927,0.508064
309,-1.87951,0.508929
310,-1.87975,0.509794
311,-1.87998,0.51065
312,-1.88022,0.511501
313,-1.88045,0.512347
314,-1.88068,0.513196
315,-1.88092,0.51404
316,-1.88115,0.514877
317,-1.88139,0.515721
318,-1.88162,0.516561
319,-1.88185,0.517397
320,-1.88208,0.518229
321,-1.88231,0.51905
322,-1.88253,0.51987
323,-1.88276,0.520698
324,-1.88299,0.521524
325,-1.88321,0.522348
326,-1.88343,0.523164
327,-1.88365,0.523972
328,-1.88387,0.524779
329,-1.8841,0.525585
330,-1.88433,0.526398
331,-1.88456,0.527213
332,-1.88479,0.528023
333,-1.88501,0.528828
334,-1.88522,0.529628
335,-1.88544,0.530434
336,-1.88567,0.53123
337,-1.88589,0.532033
338,-1.88611,0.532829
339,-1.88634,0.533624
340,-1.88656,0.534411
341,-1.88677,0.535189
342,-1.88699,0.53597
343,-1.88719,0.536744
344,-1.8874,0.537517
345,-1.88761,0.538295
346,-1.88781,0.539069
347,-1.88802,0.539849
348,-1.88822,0.540629
349,-1.88843,0.541414
350,-1.88863,0.542205
351,-1.88885,0.542997
352,-1.88906,0.543788
353,-1.88926,0.544571
354,-1.88946,0.545352
355,-1.88967,0.546133
356,-1.88988,0.546913
357,-1.89008,0.547692
358,-1.89028,0.548474
359,-1.89049,0.549252
360,-1.89068,0.550028
361,-1.89089,0.550804
362,-1.89108,0.551588
363,-1.89129,0.552375
364,-1.89149,0.553156
365,-1.89169,0.553937
366,-1.8919,0.554708
367,-1.89211,0.555472
368,-1.89233,0.556239
369,-1.89254,0.556998
370,-1.89274,0.557754
371,-1.89294,0.558506
372,-1.89315,0.55926
373,-1.89336,0.560018
374,-1.89356,0.560772
375,-1.89377,0.561522
376,-1.89398,0.562267
377,-1.89418,0.563013
378,-1.89438,0.56376
379,-1.89458,0.564506
