T,<epsilon>,<|m|>,C_v,chi
2.15,-1.60971,0.835944,1.13447,1.67529
2.1375,-1.62362,0.845053,1.08784,1.52277
2.25,-1.464,0.6663,2.16337,94.9903
2.2625,-1.43917,0.631805,2.08439,37.5423
2.275,-1.39887,0.42091,2.70156,380.29
2.2875,-1.36479,0.230124,2.07616,315.431
2.3125,-1.32102,0.172239,1.78648,162.713
2.325,-1.30273,0.163919,1.61703,145.296
2.35,-1.26509,0.0890765,1.34242,48.4826
2.3375,-1.28233,0.116178,1.42286,84.0415
2.3,-1.34397,0.210476,1.84441,203.013
2.375,-1.23326,0.080681,1.20392,36.5541
2.1125,-1.64999,0.862019,0.977206,0.997348
2.1,-1.66169,0.868253,0.965861,1.00012
2.175,-1.5797,0.813291,1.25441,2.7546
2.2375,-1.48889,0.720865,1.70653,13.5773
2.1625,-1.59348,0.81466,1.50708,35.591
2.2,-1.54621,0.784087,1.42556,4.85536
2.125,-1.63738,0.854166,1.04665,1.28891
2.1875,-1.56305,0.799397,1.36075,3.78935
2.2125,-1.52759,0.76214,1.65757,20.7612
2.225,-1.50812,0.738855,1.71211,28.4094
2.3625,-1.24906,0.0789879,1.24114,38.134
2.3875,-1.21875,0.0730995,1.15089,31.0678
