N,expected_E,expected_M
1,-0.78,0.02
2,-0.945,0.0475
3,-1.05,0.0483333
4,-1.1375,0.0525
5,-1.204,0.051
6,-1.255,0.0516667
7,-1.29857,0.0485714
8,-1.33375,0.045625
9,-1.36222,0.045
10,-1.387,0.0445
11,-1.40818,0.0418182
12,-1.425,0.0391667
13,-1.43923,0.04
14,-1.45357,0.0403571
15,-1.46667,0.0386667
16,-1.47625,0.0375
17,-1.48471,0.0355882
18,-1.49389,0.0338889
19,-1.50316,0.0339474
20,-1.5105,0.03525
21,-1.51762,0.0359524
22,-1.52545,0.0352273
23,-1.53217,0.0336957
24,-1.53833,0.0329167
25,-1.5448,0.0334
26,-1.55115,0.0359615
27,-1.55704,0.037963
28,-1.5625,0.04
29,-1.56759,0.0436207
30,-1.57233,0.0448333
31,-1.57645,0.0445161
32,-1.58063,0.0432813
33,-1.58515,0.0425758
34,-1.58941,0.0422059
35,-1.59257,0.0412857
36,-1.59611,0.0404167
37,-1.59973,0.0395946
38,-1.60342,0.0389474
39,-1.60718,0.0388462
40,-1.61025,0.038875
41,-1.61317,0.0382927
42,-1.61619,0.0378571
43,-1.61953,0.0374419
44,-1.62273,0.0368182
45,-1.62556,0.0367778
46,-1.62804,0.0363043
47,-1.63021,0.0360638
48,-1.63271,0.0357292
49,-1.6349,0.0356122
50,-1.6368,0.035
51,-1.63882,0.0344118
52,-1.64096,0.0339423
53,-1.64245,0.0334906
54,-1.64407,0.0333333
55,-1.646,0.0331818
56,-1.64786,0.0340179
57,-1.64982,0.0346491
58,-1.65103,0.0355172
59,-1.65237,0.0363559
60,-1.65383,0.0370833
61,-1.65508,0.0377869
62,-1.65597,0.038629
63,-1.65683,0.0389683
64,-1.65766,0.0388281
65,-1.65862,0.0384615
66,-1.65909,0.0383333
67,-1.6597,0.0390299
68,-1.66029,0.0401471
69,-1.66072,0.0413768
70,-1.66129,0.0422143
71,-1.66127,0.0434507
72,-1.66167,0.0449306
73,-1.66205,0.0463014
74,-1.66257,0.0477027
75,-1.66307,0.0495333
76,-1.66408,0.0517105
77,-1.66506,0.0541558
78,-1.66615,0.0564744
79,-1.66696,0.0587975
80,-1.66787,0.060875
81,-1.66889,0.0629012
82,-1.66988,0.0646341
83,-1.67096,0.0663253
84,-1.67202,0.0678571
85,-1.67282,0.0689412
86,-1.6736,0.0698837
87,-1.67448,0.0706322
88,-1.67557,0.0711932
89,-1.67663,0.0713483
90,-1.67744,0.0713889
91,-1.67857,0.0714835
92,-1.67946,0.0718478
93,-1.68032,0.0720968
94,-1.68096,0.0718617
95,-1.68168,0.0718947
96,-1.6824,0.0722917
97,-1.6833,0.0723196
98,-1.68408,0.0720918
99,-1.68465,0.0720707
100,-1.6852,0.07185
101,-1.68584,0.0717822
102,-1.68637,0.0718137
103,-1.68709,0.0717476
104,-1.68769,0.0720192
105,-1.68829,0.0724286
106,-1.68887,0.0728302
107,-1.68953,0.0730841
108,-1.69019,0.0734259
